CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
0-2000-0-81758,FORTALEZA,N,0.0,Operante,Automatica,-3.81583333,0-76-0-2304400000000057,3,29.55,CE,A305,-38.53777777,2003-02-17
0-2000-0-86925,FOZ DO IGUACU,N,0.0,Operante,Automatica,-25.60194444,0-76-0-4108304000000288,8,235.09,PR,A846,-54.48305554,2008-02-14
0-2000-0-86818,FRANCA,N,0.0,Operante,Automatica,-20.58444444,0-76-0-3516200000000031,7,1002.74,SP,A708,-47.38249999,2002-12-11
0-2000-0-86951,FREDERICO WESTPHALEN,N,0.0,Operante,Automatica,-27.39555555,0-76-0-4308508000000281,8,489.42,RS,A854,-53.42944443,2007-12-13
0-2000-0-86717,GAMA (PONTE ALTA),N,0.0,Operante,Automatica,-15.93527777,0-76-0-5300108000000496,10,990.0,DF,A046,-48.13749999,2014-09-30
0-2000-0-81955,GARANHUNS,N,0.0,Operante,Automatica,-8.91083333,0-76-0-2606002000000222,3,827.78,PE,A322,-36.49333333,2007-07-07
0-2000-0-86666,GAUCHA DO NORTE,N,0.0,Operante,Automatica,-13.18472221,0-76-0-5103858000000377,9,375.87,MT,A930,-53.2575,2008-06-03
0-2000-0-86941,GENERAL CARNEIRO,N,0.0,Operante,Automatica,-26.3986111,0-76-0-4108502000000356,8,1009.01,PR,A875,-51.35361111,2008-04-29
0-2000-0-81986,GILBUES,N,0.0,Operante,Automatica,-9.87527777,0-76-0-2204402000000447,3,425.1,PI,A364,-45.34583333,2009-05-15
0-2000-0-86713,GOIANESIA,N,0.0,Operante,Automatica,-15.22027777,0-76-0-5208608000000206,10,667.01,GO,A022,-48.98999999,2007-06-01
0-2000-0-86734,GOIANIA,N,0.0,Operante,Automatica,-16.64277777,0-76-0-5208707000000007,10,727.3,GO,A002,-49.22027777,2001-05-28
0-2000-0-86712,GOIAS,N,0.0,Pane,Automatica,-15.93972221,0-76-0-5208905000000232,10,512.86,GO,A014,-50.14138888,2007-07-17
